player_name,team,opponent,game_id,game_date,game_time,prop_type,line,over_odds,under_odds,is_alt_line,sportsbook,scraped_at
De'Aaron Fox,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:30,assists,5.5,-140.0,110.0,False,fanduel,2026-06-03T22:41:54.785333
Julian Champagnie,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:30,assists,1.5,128.0,-164.0,False,fanduel,2026-06-03T22:41:54.785348
Mikal Bridges,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:30,assists,2.5,-160.0,124.0,False,fanduel,2026-06-03T22:41:54.785351
Stephon Castle,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:30,assists,6.5,-132.0,104.0,False,fanduel,2026-06-03T22:41:54.785354
Dylan Harper,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:30,assists,2.5,-125.0,-102.0,False,fanduel,2026-06-03T22:41:54.785356
Victor Wembanyama,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:30,assists,3.5,144.0,-186.0,False,fanduel,2026-06-03T22:41:54.785358
Jalen Brunson,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:30,assists,6.5,-113.0,-113.0,False,fanduel,2026-06-03T22:41:54.785360
Devin Vassell,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:30,assists,2.5,118.0,-150.0,False,fanduel,2026-06-03T22:41:54.785362
Josh Hart,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:30,assists,4.5,-108.0,-118.0,False,fanduel,2026-06-03T22:41:54.785365
OG Anunoby,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:30,assists,1.5,-184.0,142.0,False,fanduel,2026-06-03T22:41:54.785367
Karl-Anthony Towns,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:30,assists,3.5,-146.0,114.0,False,fanduel,2026-06-03T22:41:54.785369
Stephon Castle,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:30,assists,11.5,1060.0,,True,fanduel,2026-06-03T22:41:54.785440
Jalen Brunson,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:30,assists,11.5,1200.0,,True,fanduel,2026-06-03T22:41:54.785442
De'Aaron Fox,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:30,assists,11.5,1700.0,,True,fanduel,2026-06-03T22:41:54.785444
Stephon Castle,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:30,assists,3.5,-1800.0,,True,fanduel,2026-06-03T22:41:54.785446
Jalen Brunson,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:30,assists,3.5,-1450.0,,True,fanduel,2026-06-03T22:41:54.785448
