player_name,team,opponent,game_id,game_date,game_time,prop_type,line,over_odds,under_odds,is_alt_line,sportsbook,scraped_at
Aaron Nesmith,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,2.5,140,-188.0,False,fanduel,2026-01-28T07:31:48.981749
Jarace Walker,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,2.5,-108,-122.0,False,fanduel,2026-01-28T07:31:48.981763
Bennedict Mathurin,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,1.5,-200,148.0,False,fanduel,2026-01-28T07:31:48.981766
Nikola Vucevic,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,3.5,-144,108.0,False,fanduel,2026-01-28T07:31:48.981768
Kevin Huerter,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,2.5,154,-210.0,False,fanduel,2026-01-28T07:31:48.981770
T.J. McConnell,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,4.5,114,-152.0,False,fanduel,2026-01-28T07:31:48.981772
Pascal Siakam,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,4.5,134,-180.0,False,fanduel,2026-01-28T07:31:48.981774
Matas Buzelis,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,1.5,-200,148.0,False,fanduel,2026-01-28T07:31:48.981776
Josh Giddey,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,7.5,110,-146.0,False,fanduel,2026-01-28T07:31:48.981780
Coby White,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,4.5,-162,122.0,False,fanduel,2026-01-28T07:31:48.981782
Ayo Dosunmu,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,2.5,-182,136.0,False,fanduel,2026-01-28T07:31:48.981784
Andrew Nembhard,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,7.5,-154,116.0,False,fanduel,2026-01-28T07:31:48.981786
Andrew Nembhard,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,7.5,-148,,True,fanduel,2026-01-28T07:31:48.981816
Josh Giddey,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,7.5,112,,True,fanduel,2026-01-28T07:31:48.981818
Coby White,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,7.5,450,,True,fanduel,2026-01-28T07:31:48.981820
T.J. McConnell,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,7.5,680,,True,fanduel,2026-01-28T07:31:48.981822
Pascal Siakam,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,7.5,1000,,True,fanduel,2026-01-28T07:31:48.981823
Nikola Vucevic,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,7.5,1200,,True,fanduel,2026-01-28T07:31:48.981825
Ayo Dosunmu,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,7.5,1800,,True,fanduel,2026-01-28T07:31:48.981827
Pascal Siakam,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,1.5,-2000,,True,fanduel,2026-01-28T07:31:48.981828
T.J. McConnell,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,1.5,-1600,,True,fanduel,2026-01-28T07:31:48.981830
Nikola Vucevic,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,1.5,-1600,,True,fanduel,2026-01-28T07:31:48.981832
Ayo Dosunmu,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,1.5,-520,,True,fanduel,2026-01-28T07:31:48.981833
Jarace Walker,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,1.5,-330,,True,fanduel,2026-01-28T07:31:48.981835
Aaron Nesmith,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,1.5,-220,,True,fanduel,2026-01-28T07:31:48.981837
Matas Buzelis,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,1.5,-194,,True,fanduel,2026-01-28T07:31:48.981838
Bennedict Mathurin,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,1.5,-192,,True,fanduel,2026-01-28T07:31:48.981840
Kevin Huerter,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,1.5,-188,,True,fanduel,2026-01-28T07:31:48.981842
Andrew Nembhard,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,9.5,176,,True,fanduel,2026-01-28T07:31:48.981844
Josh Giddey,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,9.5,255,,True,fanduel,2026-01-28T07:31:48.981845
Coby White,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,9.5,1200,,True,fanduel,2026-01-28T07:31:48.981847
T.J. McConnell,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,9.5,1500,,True,fanduel,2026-01-28T07:31:48.981848
Andrew Nembhard,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,13.5,1200,,True,fanduel,2026-01-28T07:31:48.981850
Josh Giddey,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,13.5,1700,,True,fanduel,2026-01-28T07:31:48.981853
Andrew Nembhard,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,11.5,470,,True,fanduel,2026-01-28T07:31:48.981855
Josh Giddey,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,11.5,750,,True,fanduel,2026-01-28T07:31:48.981856
Andrew Nembhard,,,a47d74012c56b704a36ae0021c8392c8,2026-01-29,00:10,assists,5.5,-560,,True,fanduel,2026-01-28T07:31:48.981858
