player_normalized,prop_type,line,is_alt_line,game_date,draftkings_over_odds,fanduel_over_odds,draftkings_under_odds,fanduel_under_odds,best_over,best_over_book,best_under,best_under_book
aaron nesmith,assists,1.5,True,2026-01-29,,-220.0,,,-220.0,fanduel,,
aaron nesmith,assists,2.5,False,2026-01-29,143.0,140.0,-190.0,-188.0,143.0,draftkings,-188.0,
aaron nesmith,assists,2.5,True,2026-01-29,143.0,,,,143.0,draftkings,,
aaron nesmith,assists,3.5,True,2026-01-29,362.0,350.0,,,362.0,draftkings,,
aaron nesmith,assists,4.5,True,2026-01-29,850.0,,,,850.0,draftkings,,
aaron nesmith,assists,5.5,True,2026-01-29,1820.0,1500.0,,,1820.0,draftkings,,
aaron nesmith,points,5.5,True,2026-01-29,-2500.0,,,,-2500.0,draftkings,,
aaron nesmith,points,7.5,True,2026-01-29,-900.0,,,,-900.0,draftkings,,
aaron nesmith,points,9.5,True,2026-01-29,-411.0,-430.0,,,-411.0,draftkings,,
aaron nesmith,points,11.5,True,2026-01-29,-228.0,,,,-228.0,draftkings,,
aaron nesmith,points,14.5,False,2026-01-29,100.0,100.0,-127.0,-132.0,100.0,draftkings,-127.0,
aaron nesmith,points,14.5,True,2026-01-29,100.0,100.0,,,100.0,draftkings,,
aaron nesmith,points,17.5,True,2026-01-29,200.0,,,,200.0,draftkings,,
aaron nesmith,points,19.5,True,2026-01-29,316.0,340.0,,,340.0,fanduel,,
aaron nesmith,points,24.5,True,2026-01-29,930.0,1000.0,,,1000.0,fanduel,,
aaron nesmith,points,29.5,True,2026-01-29,2400.0,2500.0,,,2500.0,fanduel,,
aaron nesmith,rebounds,2.5,True,2026-01-29,-1020.0,,,,-1020.0,draftkings,,
aaron nesmith,rebounds,3.5,True,2026-01-29,-369.0,-400.0,,,-369.0,draftkings,,
aaron nesmith,rebounds,4.5,True,2026-01-29,-174.0,,,,-174.0,draftkings,,
aaron nesmith,rebounds,5.5,False,2026-01-29,116.0,114.0,-154.0,-152.0,116.0,draftkings,-152.0,
aaron nesmith,rebounds,5.5,True,2026-01-29,117.0,116.0,,,117.0,draftkings,,
aaron nesmith,rebounds,6.5,True,2026-01-29,214.0,,,,214.0,draftkings,,
aaron nesmith,rebounds,7.5,True,2026-01-29,384.0,420.0,,,420.0,fanduel,,
aaron nesmith,rebounds,8.5,True,2026-01-29,670.0,,,,670.0,draftkings,,
aaron nesmith,rebounds,9.5,True,2026-01-29,1200.0,1100.0,,,1200.0,draftkings,,
aaron nesmith,threes,0.5,True,2026-01-29,-1320.0,-1400.0,,,-1320.0,draftkings,,
aaron nesmith,threes,1.5,True,2026-01-29,-246.0,-240.0,,,-240.0,fanduel,,
aaron nesmith,threes,2.5,False,2026-01-29,114.0,128.0,-151.0,-172.0,128.0,fanduel,-151.0,
aaron nesmith,threes,2.5,True,2026-01-29,114.0,130.0,,,130.0,fanduel,,
aaron nesmith,threes,3.5,True,2026-01-29,287.0,320.0,,,320.0,fanduel,,
aaron nesmith,threes,4.5,True,2026-01-29,660.0,700.0,,,700.0,fanduel,,
aaron nesmith,threes,5.5,True,2026-01-29,1360.0,1500.0,,,1500.0,fanduel,,
aaron nesmith,threes,6.5,True,2026-01-29,2500.0,3500.0,,,3500.0,fanduel,,
al horford,assists,1.5,True,2026-01-29,,-265.0,,,-265.0,fanduel,,
al horford,assists,2.5,False,2026-01-29,,108.0,,-144.0,108.0,fanduel,-144.0,
al horford,assists,3.5,True,2026-01-29,,280.0,,,280.0,fanduel,,
al horford,assists,5.5,True,2026-01-29,,1200.0,,,1200.0,fanduel,,
al horford,points,7.5,False,2026-01-29,,-136.0,,102.0,-136.0,fanduel,102.0,
al horford,points,9.5,True,2026-01-29,,154.0,,,154.0,fanduel,,
al horford,points,14.5,True,2026-01-29,,600.0,,,600.0,fanduel,,
al horford,points,19.5,True,2026-01-29,,1800.0,,,1800.0,fanduel,,
al horford,rebounds,3.5,True,2026-01-29,,-650.0,,,-650.0,fanduel,,
al horford,rebounds,5.5,False,2026-01-29,,-148.0,,112.0,-148.0,fanduel,112.0,
al horford,rebounds,5.5,True,2026-01-29,,-146.0,,,-146.0,fanduel,,
al horford,rebounds,7.5,True,2026-01-29,,230.0,,,230.0,fanduel,,
al horford,rebounds,9.5,True,2026-01-29,,540.0,,,540.0,fanduel,,
al horford,rebounds,11.5,True,2026-01-29,,1300.0,,,1300.0,fanduel,,
al horford,threes,0.5,True,2026-01-29,,-650.0,,,-650.0,fanduel,,
al horford,threes,1.5,False,2026-01-29,,-132.0,,100.0,-132.0,fanduel,100.0,
al horford,threes,1.5,True,2026-01-29,,-130.0,,,-130.0,fanduel,,
al horford,threes,2.5,True,2026-01-29,,240.0,,,240.0,fanduel,,
al horford,threes,3.5,True,2026-01-29,,600.0,,,600.0,fanduel,,
al horford,threes,4.5,True,2026-01-29,,1500.0,,,1500.0,fanduel,,
andrew nembhard,assists,4.5,True,2026-01-29,-1400.0,,,,-1400.0,draftkings,,
andrew nembhard,assists,5.5,True,2026-01-29,-567.0,-560.0,,,-560.0,fanduel,,
andrew nembhard,assists,6.5,True,2026-01-29,-285.0,,,,-285.0,draftkings,,
andrew nembhard,assists,7.5,False,2026-01-29,,-154.0,,116.0,-154.0,fanduel,116.0,
andrew nembhard,assists,7.5,True,2026-01-29,-164.0,-148.0,,,-148.0,fanduel,,
andrew nembhard,assists,8.5,False,2026-01-29,106.0,,-140.0,,106.0,draftkings,-140.0,
andrew nembhard,assists,8.5,True,2026-01-29,106.0,,,,106.0,draftkings,,
andrew nembhard,assists,9.5,True,2026-01-29,177.0,176.0,,,177.0,draftkings,,
andrew nembhard,assists,10.5,True,2026-01-29,302.0,,,,302.0,draftkings,,
andrew nembhard,assists,11.5,True,2026-01-29,495.0,470.0,,,495.0,draftkings,,
andrew nembhard,assists,12.5,True,2026-01-29,810.0,,,,810.0,draftkings,,
andrew nembhard,assists,13.5,True,2026-01-29,1240.0,1200.0,,,1240.0,draftkings,,
andrew nembhard,assists,14.5,True,2026-01-29,1940.0,,,,1940.0,draftkings,,
andrew nembhard,assists,15.5,True,2026-01-29,2800.0,,,,2800.0,draftkings,,
andrew nembhard,points,7.5,True,2026-01-29,-2400.0,,,,-2400.0,draftkings,,
andrew nembhard,points,9.5,True,2026-01-29,-910.0,-1100.0,,,-910.0,draftkings,,
andrew nembhard,points,11.5,True,2026-01-29,-455.0,,,,-455.0,draftkings,,
andrew nembhard,points,14.5,True,2026-01-29,-197.0,-196.0,,,-196.0,fanduel,,
andrew nembhard,points,16.5,False,2026-01-29,-119.0,-118.0,-107.0,-112.0,-118.0,fanduel,-107.0,
andrew nembhard,points,16.5,True,2026-01-29,-119.0,,,,-119.0,draftkings,,
andrew nembhard,points,17.5,True,2026-01-29,107.0,,,,107.0,draftkings,,
andrew nembhard,points,19.5,True,2026-01-29,168.0,182.0,,,182.0,fanduel,,
andrew nembhard,points,24.5,True,2026-01-29,488.0,540.0,,,540.0,fanduel,,
andrew nembhard,points,29.5,True,2026-01-29,1380.0,1400.0,,,1400.0,fanduel,,
andrew nembhard,points,34.5,True,2026-01-29,,4000.0,,,4000.0,fanduel,,
andrew nembhard,rebounds,2.5,False,2026-01-29,-149.0,-128.0,113.0,-104.0,-128.0,fanduel,113.0,
andrew nembhard,rebounds,2.5,True,2026-01-29,-150.0,,,,-150.0,draftkings,,
andrew nembhard,rebounds,3.5,True,2026-01-29,162.0,210.0,,,210.0,fanduel,,
andrew nembhard,rebounds,4.5,True,2026-01-29,360.0,,,,360.0,draftkings,,
andrew nembhard,rebounds,5.5,True,2026-01-29,770.0,1000.0,,,1000.0,fanduel,,
andrew nembhard,rebounds,6.5,True,2026-01-29,1520.0,,,,1520.0,draftkings,,
andrew nembhard,threes,0.5,True,2026-01-29,-720.0,-670.0,,,-670.0,fanduel,,
andrew nembhard,threes,1.5,False,2026-01-29,-143.0,-138.0,108.0,104.0,-138.0,fanduel,108.0,
andrew nembhard,threes,1.5,True,2026-01-29,-143.0,-138.0,,,-138.0,fanduel,,
andrew nembhard,threes,2.5,True,2026-01-29,204.0,230.0,,,230.0,fanduel,,
andrew nembhard,threes,3.5,True,2026-01-29,535.0,600.0,,,600.0,fanduel,,
andrew nembhard,threes,4.5,True,2026-01-29,1260.0,1500.0,,,1500.0,fanduel,,
andrew nembhard,threes,5.5,True,2026-01-29,2400.0,,,,2400.0,draftkings,,
andrew wiggins,assists,1.5,True,2026-01-29,,-370.0,,,-370.0,fanduel,,
andrew wiggins,assists,2.5,False,2026-01-29,-118.0,-120.0,-111.0,-110.0,-118.0,draftkings,-110.0,
andrew wiggins,assists,2.5,True,2026-01-29,-118.0,,,,-118.0,draftkings,,
andrew wiggins,assists,3.5,True,2026-01-29,215.0,215.0,,,215.0,draftkings,,
andrew wiggins,assists,4.5,True,2026-01-29,500.0,,,,500.0,draftkings,,
andrew wiggins,assists,5.5,True,2026-01-29,1100.0,1000.0,,,1100.0,draftkings,,
andrew wiggins,assists,6.5,True,2026-01-29,2000.0,,,,2000.0,draftkings,,
andrew wiggins,points,7.5,True,2026-01-29,-1280.0,,,,-1280.0,draftkings,,
andrew wiggins,points,9.5,True,2026-01-29,-564.0,-620.0,,,-564.0,draftkings,,
andrew wiggins,points,11.5,True,2026-01-29,-290.0,,,,-290.0,draftkings,,
andrew wiggins,points,14.5,True,2026-01-29,-130.0,-130.0,,,-130.0,draftkings,,
andrew wiggins,points,15.5,False,2026-01-29,100.0,100.0,-127.0,-132.0,100.0,draftkings,-127.0,
andrew wiggins,points,15.5,True,2026-01-29,100.0,,,,100.0,draftkings,,
andrew wiggins,points,17.5,True,2026-01-29,167.0,,,,167.0,draftkings,,
andrew wiggins,points,19.5,True,2026-01-29,260.0,280.0,,,280.0,fanduel,,
andrew wiggins,points,24.5,True,2026-01-29,790.0,830.0,,,830.0,fanduel,,
andrew wiggins,points,29.5,True,2026-01-29,2100.0,2000.0,,,2100.0,draftkings,,
andrew wiggins,rebounds,2.5,True,2026-01-29,-1660.0,,,,-1660.0,draftkings,,
andrew wiggins,rebounds,3.5,True,2026-01-29,-534.0,-430.0,,,-430.0,fanduel,,
andrew wiggins,rebounds,4.5,True,2026-01-29,-228.0,,,,-228.0,draftkings,,
andrew wiggins,rebounds,5.5,False,2026-01-29,-114.0,114.0,-115.0,-152.0,114.0,fanduel,-115.0,
andrew wiggins,rebounds,5.5,True,2026-01-29,-114.0,116.0,,,116.0,fanduel,,
andrew wiggins,rebounds,6.5,True,2026-01-29,162.0,,,,162.0,draftkings,,
andrew wiggins,rebounds,7.5,True,2026-01-29,292.0,400.0,,,400.0,fanduel,,
andrew wiggins,rebounds,8.5,True,2026-01-29,518.0,,,,518.0,draftkings,,
andrew wiggins,rebounds,9.5,True,2026-01-29,920.0,1060.0,,,1060.0,fanduel,,
andrew wiggins,rebounds,10.5,True,2026-01-29,1540.0,,,,1540.0,draftkings,,
andrew wiggins,threes,0.5,True,2026-01-29,-720.0,-770.0,,,-720.0,draftkings,,
andrew wiggins,threes,1.5,False,2026-01-29,-153.0,-158.0,116.0,116.0,-153.0,draftkings,116.0,
andrew wiggins,threes,1.5,True,2026-01-29,-154.0,-154.0,,,-154.0,draftkings,,
andrew wiggins,threes,2.5,True,2026-01-29,198.0,210.0,,,210.0,fanduel,,
andrew wiggins,threes,3.5,True,2026-01-29,497.0,560.0,,,560.0,fanduel,,
andrew wiggins,threes,4.5,True,2026-01-29,1140.0,1400.0,,,1400.0,fanduel,,
andrew wiggins,threes,5.5,True,2026-01-29,2400.0,3000.0,,,3000.0,fanduel,,
anfernee simons,assists,1.5,True,2026-01-29,,-370.0,,,-370.0,fanduel,,
anfernee simons,assists,2.5,False,2026-01-29,-129.0,-128.0,-102.0,-102.0,-128.0,fanduel,-102.0,
anfernee simons,assists,2.5,True,2026-01-29,-129.0,,,,-129.0,draftkings,,
anfernee simons,assists,3.5,True,2026-01-29,187.0,200.0,,,200.0,fanduel,,
anfernee simons,assists,4.5,True,2026-01-29,429.0,,,,429.0,draftkings,,
anfernee simons,assists,5.5,True,2026-01-29,910.0,870.0,,,910.0,draftkings,,
anfernee simons,assists,6.5,True,2026-01-29,1760.0,,,,1760.0,draftkings,,
anfernee simons,assists,7.5,True,2026-01-29,2800.0,,,,2800.0,draftkings,,
anfernee simons,points,5.5,True,2026-01-29,-2700.0,,,,-2700.0,draftkings,,
anfernee simons,points,7.5,True,2026-01-29,-970.0,,,,-970.0,draftkings,,
anfernee simons,points,9.5,True,2026-01-29,-460.0,-430.0,,,-430.0,fanduel,,
