player_normalized,prop_type,line,is_alt_line,game_date,betmgm_over_odds,draftkings_over_odds,fanduel_over_odds,betmgm_under_odds,draftkings_under_odds,fanduel_under_odds,best_over,best_over_book,best_under,best_under_book
ajay mitchell,assists,1.5,True,2026-05-08,,,-1200.0,,,,-1200.0,,,
ajay mitchell,assists,2.5,True,2026-05-08,-325.0,-291.0,,,,,-291.0,,,
ajay mitchell,assists,3.5,False,2026-05-08,-130.0,-120.0,-125.0,-105.0,-110.0,-106.0,-120.0,,-105.0,
ajay mitchell,assists,3.5,True,2026-05-08,,-120.0,-122.0,,,,-120.0,,,
ajay mitchell,assists,4.5,True,2026-05-08,165.0,181.0,,,,,181.0,,,
ajay mitchell,assists,5.5,True,2026-05-08,,371.0,390.0,,,,390.0,,,
ajay mitchell,assists,6.5,True,2026-05-08,675.0,740.0,,,,,740.0,,,
ajay mitchell,assists,7.5,True,2026-05-08,,1400.0,1400.0,,,,1400.0,,,
ajay mitchell,assists,8.5,True,2026-05-08,,2400.0,,,,,2400.0,,,
ajay mitchell,points,7.5,True,2026-05-08,,-1540.0,,,,,-1540.0,,,
ajay mitchell,points,9.5,True,2026-05-08,-700.0,-630.0,-800.0,,,,-630.0,,,
ajay mitchell,points,11.5,True,2026-05-08,,-319.0,,,,,-319.0,,,
ajay mitchell,points,14.5,True,2026-05-08,-150.0,-139.0,-156.0,,,,-139.0,,,
ajay mitchell,points,15.5,False,2026-05-08,-110.0,-109.0,-120.0,-120.0,-117.0,-110.0,-109.0,,-110.0,
ajay mitchell,points,15.5,True,2026-05-08,,-107.0,,,,,-107.0,,,
ajay mitchell,points,17.5,True,2026-05-08,,152.0,,,,,152.0,,,
ajay mitchell,points,19.5,True,2026-05-08,250.0,239.0,230.0,,,,250.0,,,
ajay mitchell,points,24.5,True,2026-05-08,750.0,750.0,750.0,,,,750.0,,,
ajay mitchell,points,29.5,True,2026-05-08,,1880.0,1700.0,,,,1880.0,,,
ajay mitchell,rebounds,2.5,True,2026-05-08,-250.0,-257.0,,,,,-250.0,,,
ajay mitchell,rebounds,3.5,False,2026-05-08,100.0,-106.0,-104.0,-135.0,-125.0,-128.0,100.0,,-125.0,
ajay mitchell,rebounds,3.5,True,2026-05-08,,-107.0,-102.0,,,,-102.0,,,
ajay mitchell,rebounds,4.5,True,2026-05-08,210.0,200.0,,,,,210.0,,,
ajay mitchell,rebounds,5.5,True,2026-05-08,,407.0,450.0,,,,450.0,,,
ajay mitchell,rebounds,6.5,True,2026-05-08,800.0,800.0,,,,,800.0,,,
ajay mitchell,rebounds,7.5,True,2026-05-08,,1480.0,,,,,1480.0,,,
ajay mitchell,rebounds,8.5,True,2026-05-08,,2500.0,,,,,2500.0,,,
ajay mitchell,threes,0.5,True,2026-05-08,-500.0,-446.0,-430.0,,,,-430.0,,,
ajay mitchell,threes,1.5,False,2026-05-08,-105.0,104.0,116.0,-125.0,-137.0,-154.0,116.0,,-125.0,
ajay mitchell,threes,1.5,True,2026-05-08,-105.0,104.0,118.0,,,,118.0,,,
ajay mitchell,threes,2.5,True,2026-05-08,290.0,332.0,390.0,,,,390.0,,,
ajay mitchell,threes,3.5,True,2026-05-08,750.0,950.0,1000.0,,,,1000.0,,,
ajay mitchell,threes,4.5,True,2026-05-08,,2200.0,,,,,2200.0,,,
alex caruso,assists,1.5,True,2026-05-08,,-127.0,-120.0,,,,-120.0,,,
alex caruso,assists,2.5,True,2026-05-08,,238.0,,,,,238.0,,,
alex caruso,assists,3.5,True,2026-05-08,,600.0,630.0,,,,630.0,,,
alex caruso,assists,4.5,True,2026-05-08,,1400.0,,,,,1400.0,,,
alex caruso,assists,5.5,True,2026-05-08,,2600.0,,,,,2600.0,,,
alex caruso,points,5.5,True,2026-05-08,,-172.0,,,,,-172.0,,,
alex caruso,points,6.5,False,2026-05-08,,-116.0,-106.0,,-110.0,-125.0,-106.0,,-110.0,
alex caruso,points,6.5,True,2026-05-08,,-117.0,,,,,-117.0,,,
alex caruso,points,7.5,True,2026-05-08,,116.0,,,,,116.0,,,
alex caruso,points,9.5,True,2026-05-08,,232.0,250.0,,,,250.0,,,
alex caruso,points,11.5,True,2026-05-08,,419.0,,,,,419.0,,,
alex caruso,points,14.5,True,2026-05-08,,970.0,1000.0,,,,1000.0,,,
alex caruso,points,17.5,True,2026-05-08,,1940.0,,,,,1940.0,,,
alex caruso,points,19.5,True,2026-05-08,,2700.0,,,,,2700.0,,,
alex caruso,rebounds,2.5,False,2026-05-08,,-130.0,-128.0,,-102.0,-104.0,-128.0,,-102.0,
alex caruso,rebounds,2.5,True,2026-05-08,,-129.0,,,,,-129.0,,,
