player_normalized,prop_type,line,is_alt_line,game_date,fanduel_over_odds,fanduel_under_odds,best_over,best_over_book,best_under,best_under_book
carter bryant,points,1.5,False,2026-06-04,-136.0,106.0,-136.0,,106.0,
carter bryant,rebounds,1.5,False,2026-06-04,128.0,-164.0,128.0,,-164.0,
carter bryant,threes,0.5,False,2026-06-04,150.0,-194.0,150.0,,-194.0,
carter bryant,threes,0.5,True,2026-06-04,150.0,,150.0,,,
carter bryant,threes,1.5,True,2026-06-04,630.0,,630.0,,,
carter bryant,threes,2.5,True,2026-06-04,1500.0,,1500.0,,,
de'aaron fox,assists,3.5,True,2026-06-04,-800.0,450.0,-800.0,,450.0,
de'aaron fox,assists,4.5,True,2026-06-04,-310.0,220.0,-310.0,,220.0,
de'aaron fox,assists,5.5,False,2026-06-04,-140.0,110.0,-140.0,,110.0,
de'aaron fox,assists,5.5,True,2026-06-04,-144.0,108.0,-144.0,,108.0,
de'aaron fox,assists,6.5,True,2026-06-04,140.0,-188.0,140.0,,-188.0,
de'aaron fox,assists,7.5,True,2026-06-04,260.0,-380.0,260.0,,-380.0,
de'aaron fox,assists,8.5,True,2026-06-04,450.0,-800.0,450.0,,-800.0,
de'aaron fox,assists,9.5,True,2026-06-04,680.0,,680.0,,,
de'aaron fox,assists,11.5,True,2026-06-04,1700.0,,1700.0,,,
de'aaron fox,points,9.5,True,2026-06-04,-700.0,410.0,-700.0,,410.0,
de'aaron fox,points,10.5,True,2026-06-04,-490.0,320.0,-490.0,,320.0,
de'aaron fox,points,11.5,True,2026-06-04,-340.0,235.0,-340.0,,235.0,
de'aaron fox,points,12.5,True,2026-06-04,-250.0,182.0,-250.0,,182.0,
de'aaron fox,points,13.5,True,2026-06-04,-188.0,140.0,-188.0,,140.0,
de'aaron fox,points,14.5,True,2026-06-04,-138.0,104.0,-138.0,,104.0,
de'aaron fox,points,15.5,False,2026-06-04,-102.0,-125.0,-102.0,,-125.0,
de'aaron fox,points,15.5,True,2026-06-04,-102.0,-128.0,-102.0,,-128.0,
de'aaron fox,points,16.5,True,2026-06-04,124.0,-166.0,124.0,,-166.0,
de'aaron fox,points,17.5,True,2026-06-04,162.0,-220.0,162.0,,-220.0,
de'aaron fox,points,18.5,True,2026-06-04,200.0,-280.0,200.0,,-280.0,
de'aaron fox,points,19.5,True,2026-06-04,260.0,-380.0,260.0,,-380.0,
de'aaron fox,points,20.5,True,2026-06-04,320.0,-500.0,320.0,,-500.0,
de'aaron fox,points,21.5,True,2026-06-04,400.0,-670.0,400.0,,-670.0,
de'aaron fox,points,24.5,True,2026-06-04,830.0,,830.0,,,
de'aaron fox,points,29.5,True,2026-06-04,2200.0,,2200.0,,,
de'aaron fox,rebounds,1.5,True,2026-06-04,-1100.0,,-1100.0,,,
de'aaron fox,rebounds,2.5,True,2026-06-04,-275.0,198.0,-275.0,,198.0,
de'aaron fox,rebounds,3.5,False,2026-06-04,-102.0,-125.0,-102.0,,-125.0,
de'aaron fox,rebounds,3.5,True,2026-06-04,-104.0,-128.0,-104.0,,-128.0,
de'aaron fox,rebounds,4.5,True,2026-06-04,210.0,-300.0,210.0,,-300.0,
de'aaron fox,rebounds,5.5,True,2026-06-04,430.0,-750.0,430.0,,-750.0,
de'aaron fox,rebounds,7.5,True,2026-06-04,1500.0,,1500.0,,,
de'aaron fox,threes,0.5,True,2026-06-04,-390.0,,-390.0,,,
de'aaron fox,threes,1.5,False,2026-06-04,128.0,-164.0,128.0,,-164.0,
de'aaron fox,threes,1.5,True,2026-06-04,128.0,,128.0,,,
de'aaron fox,threes,2.5,True,2026-06-04,420.0,,420.0,,,
de'aaron fox,threes,3.5,True,2026-06-04,1100.0,,1100.0,,,
devin vassell,assists,1.5,True,2026-06-04,-265.0,,-265.0,,,
devin vassell,assists,2.5,False,2026-06-04,118.0,-150.0,118.0,,-150.0,
devin vassell,assists,3.5,True,2026-06-04,300.0,,300.0,,,
devin vassell,assists,5.5,True,2026-06-04,1500.0,,1500.0,,,
devin vassell,points,7.5,True,2026-06-04,-750.0,430.0,-750.0,,430.0,
devin vassell,points,8.5,True,2026-06-04,-490.0,320.0,-490.0,,320.0,
devin vassell,points,9.5,True,2026-06-04,-350.0,240.0,-350.0,,240.0,
devin vassell,points,10.5,True,2026-06-04,-250.0,182.0,-250.0,,182.0,
devin vassell,points,11.5,True,2026-06-04,-188.0,140.0,-188.0,,140.0,
devin vassell,points,12.5,True,2026-06-04,-138.0,104.0,-138.0,,104.0,
devin vassell,points,13.5,False,2026-06-04,100.0,-128.0,100.0,,-128.0,
devin vassell,points,13.5,True,2026-06-04,100.0,-132.0,100.0,,-132.0,
devin vassell,points,14.5,True,2026-06-04,132.0,-174.0,132.0,,-174.0,
devin vassell,points,15.5,True,2026-06-04,168.0,-230.0,168.0,,-230.0,
devin vassell,points,16.5,True,2026-06-04,220.0,-310.0,220.0,,-310.0,
devin vassell,points,17.5,True,2026-06-04,280.0,-420.0,280.0,,-420.0,
devin vassell,points,18.5,True,2026-06-04,350.0,-550.0,350.0,,-550.0,
devin vassell,points,19.5,True,2026-06-04,450.0,,450.0,,,
devin vassell,points,24.5,True,2026-06-04,1300.0,,1300.0,,,
devin vassell,rebounds,2.5,True,2026-06-04,-470.0,310.0,-470.0,,310.0,
devin vassell,rebounds,3.5,True,2026-06-04,-188.0,140.0,-188.0,,140.0,
devin vassell,rebounds,4.5,False,2026-06-04,124.0,-160.0,124.0,,-160.0,
devin vassell,rebounds,4.5,True,2026-06-04,122.0,-162.0,122.0,,-162.0,
devin vassell,rebounds,5.5,True,2026-06-04,255.0,-360.0,255.0,,-360.0,
devin vassell,rebounds,6.5,True,2026-06-04,490.0,-900.0,490.0,,-900.0,
devin vassell,rebounds,7.5,True,2026-06-04,900.0,,900.0,,,
devin vassell,threes,0.5,True,2026-06-04,-1800.0,,-1800.0,,,
devin vassell,threes,1.5,True,2026-06-04,-290.0,205.0,-290.0,,205.0,
devin vassell,threes,2.5,False,2026-06-04,112.0,-140.0,112.0,,-140.0,
devin vassell,threes,2.5,True,2026-06-04,112.0,-144.0,112.0,,-144.0,
devin vassell,threes,3.5,True,2026-06-04,280.0,-420.0,280.0,,-420.0,
devin vassell,threes,4.5,True,2026-06-04,700.0,-1400.0,700.0,,-1400.0,
devin vassell,threes,5.5,True,2026-06-04,1400.0,,1400.0,,,
devin vassell,threes,6.5,True,2026-06-04,3000.0,,3000.0,,,
dylan harper,assists,1.5,True,2026-06-04,-400.0,,-400.0,,,
dylan harper,assists,2.5,False,2026-06-04,-125.0,-102.0,-125.0,,-102.0,
dylan harper,assists,3.5,True,2026-06-04,200.0,,200.0,,,
dylan harper,assists,5.5,True,2026-06-04,1000.0,,1000.0,,,
dylan harper,points,5.5,True,2026-06-04,-700.0,410.0,-700.0,,410.0,
dylan harper,points,6.5,True,2026-06-04,-420.0,280.0,-420.0,,280.0,
dylan harper,points,7.5,True,2026-06-04,-290.0,205.0,-290.0,,205.0,
dylan harper,points,8.5,True,2026-06-04,-205.0,152.0,-205.0,,152.0,
dylan harper,points,9.5,True,2026-06-04,-142.0,110.0,-142.0,,110.0,
dylan harper,points,10.5,False,2026-06-04,-104.0,-122.0,-104.0,,-122.0,
dylan harper,points,10.5,True,2026-06-04,-104.0,-128.0,-104.0,,-128.0,
dylan harper,points,11.5,True,2026-06-04,130.0,-174.0,130.0,,-174.0,
dylan harper,points,12.5,True,2026-06-04,174.0,-240.0,174.0,,-240.0,
dylan harper,points,13.5,True,2026-06-04,225.0,-320.0,225.0,,-320.0,
dylan harper,points,14.5,True,2026-06-04,300.0,-440.0,300.0,,-440.0,
dylan harper,points,19.5,True,2026-06-04,1000.0,,1000.0,,,
dylan harper,rebounds,1.5,True,2026-06-04,-1400.0,,-1400.0,,,
dylan harper,rebounds,2.5,True,2026-06-04,-360.0,255.0,-360.0,,255.0,
dylan harper,rebounds,3.5,False,2026-06-04,-146.0,114.0,-146.0,,114.0,
dylan harper,rebounds,3.5,True,2026-06-04,-152.0,114.0,-152.0,,114.0,
dylan harper,rebounds,4.5,True,2026-06-04,146.0,-198.0,146.0,,-198.0,
dylan harper,rebounds,5.5,True,2026-06-04,270.0,-400.0,270.0,,-400.0,
dylan harper,rebounds,6.5,True,2026-06-04,,-1000.0,,,-1000.0,
dylan harper,rebounds,7.5,True,2026-06-04,900.0,,900.0,,,
dylan harper,threes,0.5,True,2026-06-04,-170.0,,-170.0,,,
dylan harper,threes,1.5,True,2026-06-04,290.0,,290.0,,,
dylan harper,threes,2.5,True,2026-06-04,900.0,,900.0,,,
jalen brunson,assists,3.5,True,2026-06-04,-1450.0,,-1450.0,,,
jalen brunson,assists,4.5,True,2026-06-04,-500.0,320.0,-500.0,,320.0,
jalen brunson,assists,5.5,True,2026-06-04,-225.0,172.0,-225.0,,172.0,
jalen brunson,assists,6.5,False,2026-06-04,-113.0,-113.0,-113.0,,-113.0,
jalen brunson,assists,6.5,True,2026-06-04,-114.0,-114.0,-114.0,,-114.0,
jalen brunson,assists,7.5,True,2026-06-04,164.0,-220.0,164.0,,-220.0,
jalen brunson,assists,8.5,True,2026-06-04,280.0,-420.0,280.0,,-420.0,
jalen brunson,assists,9.5,True,2026-06-04,410.0,-700.0,410.0,,-700.0,
jalen brunson,assists,11.5,True,2026-06-04,1200.0,,1200.0,,,
jalen brunson,assists,13.5,True,2026-06-04,3500.0,,3500.0,,,
jalen brunson,points,14.5,True,2026-06-04,-3000.0,,-3000.0,,,
jalen brunson,points,16.5,True,2026-06-04,-1200.0,,-1200.0,,,
jalen brunson,points,17.5,True,2026-06-04,-750.0,430.0,-750.0,,430.0,
jalen brunson,points,18.5,True,2026-06-04,-580.0,360.0,-580.0,,360.0,
jalen brunson,points,19.5,True,2026-06-04,-440.0,290.0,-440.0,,290.0,
jalen brunson,points,20.5,True,2026-06-04,-330.0,230.0,-330.0,,230.0,
jalen brunson,points,21.5,True,2026-06-04,-260.0,188.0,-260.0,,188.0,
jalen brunson,points,22.5,True,2026-06-04,-210.0,154.0,-210.0,,154.0,
jalen brunson,points,23.5,True,2026-06-04,-168.0,126.0,-168.0,,126.0,
jalen brunson,points,24.5,True,2026-06-04,-136.0,102.0,-136.0,,102.0,
jalen brunson,points,25.5,False,2026-06-04,-106.0,-120.0,-106.0,,-120.0,
jalen brunson,points,25.5,True,2026-06-04,-108.0,-122.0,-108.0,,-122.0,
jalen brunson,points,26.5,True,2026-06-04,116.0,-154.0,116.0,,-154.0,
jalen brunson,points,27.5,True,2026-06-04,142.0,-192.0,142.0,,-192.0,
jalen brunson,points,28.5,True,2026-06-04,174.0,-240.0,174.0,,-240.0,
jalen brunson,points,29.5,True,2026-06-04,210.0,-300.0,210.0,,-300.0,
jalen brunson,points,30.5,True,2026-06-04,250.0,-360.0,250.0,,-360.0,
jalen brunson,points,31.5,True,2026-06-04,310.0,-470.0,310.0,,-470.0,
jalen brunson,points,32.5,True,2026-06-04,360.0,-580.0,360.0,,-580.0,
jalen brunson,points,33.5,True,2026-06-04,410.0,-700.0,410.0,,-700.0,
jalen brunson,points,34.5,True,2026-06-04,520.0,-1000.0,520.0,,-1000.0,
jalen brunson,points,35.5,True,2026-06-04,,-1400.0,,,-1400.0,
jalen brunson,points,39.5,True,2026-06-04,1200.0,,1200.0,,,
jalen brunson,points,44.5,True,2026-06-04,3500.0,,3500.0,,,
jalen brunson,rebounds,1.5,True,2026-06-04,-500.0,320.0,-500.0,,320.0,
jalen brunson,rebounds,2.5,False,2026-06-04,-154.0,120.0,-154.0,,120.0,
jalen brunson,rebounds,2.5,True,2026-06-04,-154.0,116.0,-154.0,,116.0,
jalen brunson,rebounds,3.5,True,2026-06-04,172.0,-235.0,172.0,,-235.0,
jalen brunson,rebounds,4.5,True,2026-06-04,370.0,-600.0,370.0,,-600.0,
jalen brunson,rebounds,5.5,True,2026-06-04,800.0,,800.0,,,
jalen brunson,threes,0.5,True,2026-06-04,-1450.0,,-1450.0,,,
jalen brunson,threes,1.5,True,2026-06-04,-245.0,178.0,-245.0,,178.0,
jalen brunson,threes,2.5,False,2026-06-04,132.0,-170.0,132.0,,-170.0,
jalen brunson,threes,2.5,True,2026-06-04,132.0,-174.0,132.0,,-174.0,
jalen brunson,threes,3.5,True,2026-06-04,320.0,-470.0,320.0,,-470.0,
jalen brunson,threes,4.5,True,2026-06-04,700.0,,700.0,,,
jalen brunson,threes,5.5,True,2026-06-04,1500.0,,1500.0,,,
jose alvarado,points,2.5,False,2026-06-04,102.0,-130.0,102.0,,-130.0,
jose alvarado,threes,0.5,False,2026-06-04,152.0,-196.0,152.0,,-196.0,
jose alvarado,threes,0.5,True,2026-06-04,152.0,,152.0,,,
jose alvarado,threes,1.5,True,2026-06-04,680.0,,680.0,,,
josh hart,assists,1.5,True,2026-06-04,-4000.0,,-4000.0,,,
